GENERAL INPUT VALUES, (VALUE NAME NOTES),
197,ClanLevel,
556,StartStage,
5000,StageCap,(Max=5500)
4000,HeroLevelCap,
16,TapsPerSec,(Max=20)
,,
ACTIVE SKILL LEVELS, (LEVEL NAME ACTIVATED),
1,HeavenlyStrike,1
1,CriticalStrike,1
15,HandOfMidas,1
1,FireSword,1
15,WarCry,1
1,ShadowClone,1
,,
EQUIPMENT MULTIPLIERS, (MULTIPLIER TYPE EQUIPPED),
0,AllDamage,
266,AllHeroDamage,1
0,CritDamage,
83,MeleeDamage,
87,SpellDamage,
215,RangedDamage,1
150,AllGold,1
0,ChestGold,
8.81,CritChance,1
0,TitanHP,
0,ChestChance,
63,PetDamage,1
0,TapDamage,
,,
PET LEVELS, (LEVEL NAME ACTIVE),
31,Nova,
36,Toto,
40,Cerberus,
44,Mousy,1
35,Harker,
45,Bubbles,
35,Demos,
36,Tempest,
34,Basky,
52,Scraps,
53,Zero,
36,Polly,
39,Hamy,
41,Phobos,
53,Fluffers,
23,Kit,
,,
ARTIFACT LEVELS, (LEVEL NAME),
0,Heroic Shield,
68,Stone of the Valrunes,
0,Axe of Muerte,
20,Invader's Shield,
0,Elixir of Eden,
124,Parchment of Foresight,
47,Laborer's Pendant,
0,Bringer of Ragnarok,
46,Titan's Mask,
26,Swamp Gauntlet,
26,Forbidden Scroll,
30,Aegis,
30,Ring of Fealty,
26,Glacial Axe,
0,Egg of Fortune,
29,Chest of Contentment,
0,Book of Prophecy,
18,Divine Chalice,
54,Book of Shadows,
25,Staff of Radiance,
61,Hero's Blade,
45,Helmet of Madness,
61,Lethe Water,
0,Amethyst Staff,
50,Heavenly Sword,
44,Drunken Hammer,
52,Divine Retribution,
53,Fruit of Eden,
117,The Sword of Storms,
60,Charm of the Ancient,
113,Blade of Damocles,
69,Furies Bow,
0,Infinity Pendulum,
0,The Arcana Cloak,
11,Hunter's Ointment,
11,Glove of Kuma,
11,Oak Staff,
15,Titan Spear,
,,
SKILL TREE LEVELS, (LEVEL NAME),
1,Pet:LightningBurst,
1,Pet:FlashZip,
0,Pet:HOM,
0,UltraHeroes,
0,MightyPower,
0,FairyLand,
0,Time Distortion,
0,Summon Help,
0,Unused,
0,Unused,
1,OfflineGold,
1,Melee:StrongerArms,
1,Spell:HyperMagic,
4,Ranged:PinPointAccuracy,
3,PetEvolution,
10,IntimidatingPresence,
1,Splash:ExtendedReach,
0,SilentMarch,
0,TitanFamily,
0,Pet:Stealth,
0,Unused,
1,MagicFusion,
1,FlameTouch,
0,ManaRegen:MagicWell,
0,ManaCap:ManaLimitBreak,
2,HeroicMight,
1,MidasUltimate,
1,ManaSiphon,
1,LightningStrike,
1,ShadowClone,
2,ManniMana,
,,
HERO WEAPON LEVELS, (LEVEL NAME),
1,Maya Muerta the Watcher,
0,Zato the Blind Staff Master,
0,Sophia: Champion of Swords,
1,Lance: Knight of Cobalt Steel,
0,Pingo of the Tori,
2,Rosabella Bonnie Archer,
0,Gulbrand the Destroyer,
1,Captain Davey Cannon,
0,Rhys Mage of Order Evetga,
0,Kronus: Bringer of Judgement,
1,Cosette: Jewel of House Sabre,
0,Kiki the Dragon Rider,
0,Maddie: Shadow Thief,
2,Beany Sprout the 1st,
0,Sawyer the Wild Gunslinger,
2,Lil\' Ursa,
1,Saje the Garden Keeper,
1,Wally Wat the Magician,
0,Jayce the Ruthless Cutter,
1,The Great Pharaoh,
1,Boomoh Doctor,
2,Dex-1000,
0,The Great Madame Cass,
2,Lala Quickshot,
0,Aya the Lightning Violet,
1,Lady Lucy the Night Caster,
2,Jazz Rockerfellow,
0,Maple the Autumn Guardian,
1,Kin the Puffy Beast,
0,Princess Titania of Fay,
1,Miki the Graceful Dancer,
2,Mina the Priestess of Light,
0,Yzafa the Fearsome Bandit,
0,Zolom Blaster: Space Hunter,
1,Finn the Funny Guard,
1,Nohni the Spearit,
0,Damon of the Darkness,
,, 
