    GENERAL INPUT VALUES, (VALUE NAME NOTES),
        444,ClanLevel,
        4000,StartStage,
        5000,StageCap,(Max=5500)
        9000,HeroLevelCap,
        20,TapsPerSec,(Max=20)
        50,ClanSize,
        ,,
    ACTIVE SKILL LEVELS, (LEVEL NAME ACTIVATED),
        15,HeavenlyStrike,
        15,CriticalStrike,
        15,HandOfMidas,ACTIVATED
        15,FireSword,
        15,WarCry,ACTIVATED
        15,ShadowClone,ACTIVATED
        ,,
    EQUIPMENT MULTIPLIERS, (MULTIPLIER TYPE EQUIPPED),
        324,AllDamage, 
        964,AllHeroDamage,EQUIPPED
        715,CritDamage,
        552,MeleeDamage,EQUIPPED
        588,SpellDamage,
        552,RangedDamage,
        416,AllGold,EQUIPPED
        753,ChestGold,
        49,CritChance,EQUIPPED
        0.13,TitanHP,
        21,ChestChance,
        359,PetDamage,EQUIPPED
        1780,TapDamage,
        ,,
    PET LEVELS, (LEVEL NAME ACTIVE),
        148,Nova,
        134,Toto,
        95,Cerberus,ACTIVE
        128,Mousy,
        119,Harker,
        138,Bubbles,
        138,Demos,
        150,Tempest,
        127,Basky,
        125,Scraps,
        131,Zero,
        135,Polly,
        134,Hamy,
        103,Phobos,
        126,Fluffers,  
        145,Kit,  
        ,,
    ARTIFACT LEVELS, (LEVEL NAME),
        215,Heroic Shield,
        120,Stone of the Valrunes,
        20,Axe of Muerte,
        20,Invader's Shield,
        150,Elixir of Eden,
        200,Parchment of Foresight,
        200,Laborer's Pendant,
        100,Bringer of Ragnarok,
        100,Titan's Mask,
        30,Swamp Gauntlet,
        30,Forbidden Scroll,
        30,Aegis,
        30,Ring of Fealty,
        30,Glacial Axe,
        10,Egg of Fortune,
        105,Chest of Contentment,
        110,Book of Prophecy,
        50,Divine Chalice,
        244,Book of Shadows,
        25,Staff of Radiance,
        145,Hero's Blade,
        135,Helmet of Madness,
        135,Lethe Water,
        135,Amethyst Staff,
        125,Heavenly Sword,
        175,Drunken Hammer,
        110,Divine Retribution,
        100,Fruit of Eden,
        100,The Sword of Storms,
        240,Charm of the Ancient,
        235,Blade of Damocles,
        135,Furies Bow,
        20,Infinity Pendulum,
        40,The Arcana Cloak,
        40,Hunter's Ointment,
        30,Glove of Kuma,
        30,Oak Staff,
        40,Titan Spear,
        ,,
    SKILL TREE LEVELS, (LEVEL NAME),
        0,Pet:LightningBurst, 
        1,Pet:FlashZip,
        0,Pet:HOM,
        0,UltraHeroes,
        0,MightyPower,
        0,FairyLand,
        0,Time Distortion,
        0,Summon Help,
        0,Unused,
        0,Unused,
        1,OfflineGold,
        1,Melee:StrongerArms,
        7,Spell:HyperMagic,
        0,Ranged:PinPointAccuracy,
        4,PetEvolution,
        18,IntimidatingPresence,
        1,Splash:ExtendedReach,
        8,SilentMarch,
        8,TitanFamily,
        4,Pet:Stealth,
        0,Unused,
        0,MagicFusion,
        0,FlameTouch,
        0,ManaRegen:MagicWell,
        0,ManaCap:ManaLimitBreak,
        0,HeroicMight,
        0,MidasUltimate,
        0,ManaSiphon,
        0,LightningStrike,
        0,ShadowClone,
        0,ManniMana,
        ,,
    HERO WEAPON LEVELS, (LEVEL NAME),
        12,Maya Muerta the Watcher,
        8,Zato the Blind Staff Master,
        12,Sophia: Champion of Swords,
        10,Lance: Knight of Cobalt Steel,
        10,Pingo of the Tori,
        11,Rosabella Bonnie Archer,
        11,Gulbrand the Destroyer,
        8,Captain Davey Cannon,
        11,Rhys Mage of Order Evetga,
        8,Kronus: Bringer of Judgement,
        9,Cosette: Jewel of House Sabre,
        12,Kiki the Dragon Rider,
        12,Maddie: Shadow Thief,
        8,Beany Sprout the 1st,
        11,Sawyer the Wild Gunslinger,
        9,Lil\' Ursa,
        17,Saje the Garden Keeper,
        13,Wally Wat the Magician,
        10,Jayce the Ruthless Cutter,
        13,The Great Pharaoh,
        9,Boomoh Doctor,
        8,Dex-1000,
        10,The Great Madame Cass,
        10,Lala Quickshot,
        9,Aya the Lightning Violet,
        13,Lady Lucy the Night Caster,
        14,Jazz Rockerfellow,
        9,Maple the Autumn Guardian,
        10,Kin the Puffy Beast,
        11,Princess Titania of Fay,
        9,Miki the Graceful Dancer,
        10,Mina the Priestess of Light,
        13,Yzafa the Fearsome Bandit,
        8,Zolom Blaster: Space Hunter,
        13,Finn the Funny Guard,
        9,Nohni the Spearit,
        16,Damon of the Darkness,
        ,,
