    GENERAL INPUT VALUES, (VALUE NAME NOTES),
        310,ClanLevel,
        1000,StartStage,
        5000,StageCap,(Max=5500)
        4000,HeroLevelCap,
        20,TapsPerSec,(Max=20)
        50,ClanSize,
        2,TransitionScreenDelay,(Seconds)
        0.2,DeviceLag,(Seconds)
        0,DisableHeroes,
        0,DisablePet,(Still applies bonuses)
        0,UseScientificNotation,
        ,,
    ACTIVE SKILL LEVELS, (LEVEL NAME ACTIVATED),
        15,HeavenlyStrike,ACTIVATED
        15,CriticalStrike,
        15,HandOfMidas,
        15,FireSword,
        15,WarCry,
        15,ShadowClone,
        ,,
    EQUIPMENT MULTIPLIERS, (MULTIPLIER TYPE EQUIPPED),
        90,AllDamage, 
        230,AllHeroDamage,EQUIPPED
        153,CritDamage,
        246,MeleeDamage,EQUIPPED
        232,SpellDamage,
        86,RangedDamage,
        49,AllGold,EQUIPPED
        65,ChestGold,
        14,CritChance,EQUIPPED
        0.29,TitanHP,
        15,ChestChance,
        61,PetDamage,EQUIPPED
        86,TapDamage,
        ,,
    PET LEVELS, (LEVEL NAME ACTIVE),
        36,Nova,
        36,Toto,
        39,Cerberus,
        28,Mousy,
        22,Harker,
        40,Bubbles,
        34,Demos,
        42,Tempest,
        30,Basky,ACTIVE
        35,Scraps,
        27,Zero,
        39,Polly,
        16,Hamy,
        24,Phobos,
        37,Fluffers,  
        42,Kit,  
        ,,
    ARTIFACT LEVELS, (LEVEL NAME),
        90,Heroic Shield,
        40,Stone of the Valrunes,
        20,Axe of Muerte,
        20,Invader's Shield,
        45,Elixir of Eden,
        110,Parchment of Foresight,
        110,Laborer's Pendant,
        70,Bringer of Ragnarok,
        20,Titan's Mask,
        15,Swamp Gauntlet,
        30,Forbidden Scroll,
        30,Aegis,
        30,Ring of Fealty,
        30,Glacial Axe,
        10,Egg of Fortune,
        40,Chest of Contentment,
        50,Book of Prophecy,
        20,Divine Chalice,
        113,Book of Shadows,
        25,Staff of Radiance,
        50,Hero's Blade,
        50,Helmet of Madness,
        50,Lethe Water,
        50,Amethyst Staff,
        56,Heavenly Sword,
        20,Drunken Hammer,
        50,Divine Retribution,
        100,Fruit of Eden,
        50,The Sword of Storms,
        51,Charm of the Ancient,
        105,Blade of Damocles,
        90,Furies Bow,
        0,Infinity Pendulum,
        30,The Arcana Cloak,
        5,Hunter's Ointment,
        30,Glove of Kuma,
        15,Oak Staff,
        30,Titan Spear,
        ,,
    SKILL TREE LEVELS, (LEVEL NAME),
        1,Pet:LightningBurst, 
        1,Pet:FlashZip,
        0,Pet:HOM,
        0,Ultra Heroes,
        0,Mighty Power,
        0,Fairy Land,
        0,Time Distortion,
        0,Summon Help,
        0,Unused,
        0,Unused,
        0,Offline Gold,
        4,Melee:Stronger Arms,
        1,Spell:Hyper Magic,
        1,Ranged:Pin Point Accuracy,
        3,Pet Evolution,
        10,Intimidating Presence,
        1,Splash:Extended Reach,
        0,Silent March,
        0,Titan Family,
        0,Pet:Stealth,
        0,Unused,
        1,Magic Fusion,
        1,FlameTouch,
        0,Magic Well,
        0,Mana Limit Break,
        0,Heroic Might,
        1,Midas Ultimate,
        2,Mana Siphon,
        1,Lightning Strike,
        1,Shadow Clone,
        3,Manni Mana,
        ,,
    HERO WEAPON LEVELS, (LEVEL NAME),
        1,Maya Muerta the Watcher,
        3,Zato the Blind Staff Master,
        2,Sophia: Champion of Swords,
        1,Lance: Knight of Cobalt Steel,
        2,Pingo of the Tori,
        1,Rosabella Bonnie Archer,
        1,Gulbrand the Destroyer,
        1,Captain Davey Cannon,
        2,Rhys Mage of Order Evetga,
        1,Kronus: Bringer of Judgement,
        1,Cosette: Jewel of House Sabre,
        1,Kiki the Dragon Rider,
        1,Maddie: Shadow Thief,
        1,Beany Sprout the 1st,
        1,Sawyer the Wild Gunslinger,
        1,Lil\' Ursa,
        1,Saje the Garden Keeper,
        1,Wally Wat the Magician,
        1,Jayce the Ruthless Cutter,
        1,The Great Pharaoh,
        1,Boomoh Doctor,
        1,Dex-1000,
        1,The Great Madame Cass,
        1,Lala Quickshot,
        1,Aya the Lightning Violet,
        1,Lady Lucy the Night Caster,
        1,Jazz Rockerfellow,
        1,Maple the Autumn Guardian,
        1,Kin the Puffy Beast,
        1,Princess Titania of Fay,
        2,Miki the Graceful Dancer,
        1,Mina the Priestess of Light,
        1,Yzafa the Fearsome Bandit,
        4,Zolom Blaster: Space Hunter,
        2,Finn the Funny Guard,
        1,Nohni the Spearit,
        2,Damon of the Darkness,
        ,,
