    GENERAL INPUT VALUES, (VALUE NAME NOTES),
424,ClanLevel,
2000,StartStage,
5000,StageCap,(Max=5500)
6000,HeroLevelCap,
20,TapsPerSec,(Max=20)
        50,ClanSize,
    ,,
    ACTIVE SKILL LEVELS, (LEVEL NAME ACTIVATED),
15,HeavenlyStrike,
15,CriticalStrike,1
15,HandOfMidas,1
15,FireSword,1
15,WarCry,1
15,ShadowClone,1
    ,,
    EQUIPMENT MULTIPLIERS, (MULTIPLIER TYPE EQUIPPED),
341,AllDamage, 
915,AllHeroDamage,1
679,CritDamage,
510,MeleeDamage,
544,SpellDamage,1
510,RangedDamage,
375,AllGold,1
712,ChestGold,
49,CritChance,
0.13,TitanHP,1
21,ChestChance,
341,PetDamage,1
1690,TapDamage,
    ,,
    PET LEVELS, (LEVEL NAME ACTIVE),
279,Nova,
336,Toto,
347,Cerberus,
295,Mousy,
351,Harker,
325,Bubbles,
276,Demos,
359,Tempest,
296,Basky,
331,Scraps,
296,Zero,
356,Polly,
276,Hamy,
277,Phobos,
429,Fluffers,1
319,Kit,  
    ,,
    ARTIFACT LEVELS, (LEVEL NAME),
400,Heroic Shield,
400,Stone of the Valrunes,
20,Axe of Muerte,
20,Invader's Shield,
300,Elixir of Eden,
300,Parchment of Foresight,
300,Laborer's Pendant,
300,Bringer of Ragnarok,
300,Titan's Mask,
30,Swamp Gauntlet,
30,Forbidden Scroll,
30,Aegis,
30,Ring of Fealty,
30,Glacial Axe,
10,Egg of Fortune,
250,Chest of Contentment,
300,Book of Prophecy,
50,Divine Chalice,
200,Book of Shadows,
25,Staff of Radiance,
300,Hero's Blade,
300,Helmet of Madness,
300,Lethe Water,
300,Amethyst Staff,
400,Heavenly Sword,
400,Drunken Hammer,
400,Divine Retribution,
300,Fruit of Eden,
300,The Sword of Storms,
300,Charm of the Ancient,
300,Blade of Damocles,
300,Furies Bow,
20,Infinity Pendulum,
40,The Arcana Cloak,
40,Hunter's Ointment,
30,Glove of Kuma,
30,Oak Staff,
40,Titan Spear,
    ,,
    SKILL TREE LEVELS, (LEVEL NAME),
0,Pet:LightningBurst, 
0,Pet:FlashZip,
0,Pet:HOM,
0,UltraHeroes,
0,MightyPower,
0,FairyLand,
0,Time Distortion,
0,Summon Help,
0,Unused,
0,Unused,
3,OfflineGold,
2,Melee:StrongerArms,
17,Spell:HyperMagic,
2,Ranged:PinPointAccuracy,
16,PetEvolution,
20,IntimidatingPresence,
1,Splash:ExtendedReach,
8,SilentMarch,
10,TitanFamily,
10,Pet:Stealth,
0,Unused,
1,MagicFusion,
0,FlameTouch,
0,ManaRegen:MagicWell,
0,ManaCap:ManaLimitBreak,
0,HeroicMight,
0,MidasUltimate,
0,ManaSiphon,
0,LightningStrike,
0,ShadowClone,
0,ManniMana,
    ,,
    HERO WEAPON LEVELS, (LEVEL NAME),
18,Maya Muerta the Watcher,
25,Zato the Blind Staff Master,
18,Sophia: Champion of Swords,
15,Lance: Knight of Cobalt Steel,
16,Pingo of the Tori,
22,Rosabella Bonnie Archer,
19,Gulbrand the Destroyer,
17,Captain Davey Cannon,
18,Rhys Mage of Order Evetga,
20,Kronus: Bringer of Judgement,
16,Cosette: Jewel of House Sabre,
17,Kiki the Dragon Rider,
16,Maddie: Shadow Thief,
19,Beany Sprout the 1st,
16,Sawyer the Wild Gunslinger,
18,Lil\' Ursa,
18,Saje the Garden Keeper,
16,Wally Wat the Magician,
16,Jayce the Ruthless Cutter,
15,The Great Pharaoh,
24,Boomoh Doctor,
16,Dex-1000,
22,The Great Madame Cass,
15,Lala Quickshot,
17,Aya the Lightning Violet,
17,Lady Lucy the Night Caster,
21,Jazz Rockerfellow,
17,Maple the Autumn Guardian,
15,Kin the Puffy Beast,
22,Princess Titania of Fay,
18,Miki the Graceful Dancer,
17,Mina the Priestess of Light,
19,Yzafa the Fearsome Bandit,
19,Zolom Blaster: Space Hunter,
16,Finn the Funny Guard,
20,Nohni the Spearit,
18,Damon of the Darkness,
    ,,
